dataset,dataelement,shortname,code,categoryoptioncombo,dataelementuid,categoryoptioncombouid
2020 HF5 - Hospital Inpatients,Child death - Diarrhoea,Child death Diarrhoea,CHILD_DEATH_DIARRHOEA,10-14y_X,XUoRxBxT6io,TkMu3ASPYIt
2020 HF5 - Hospital Inpatients,Child death - Diarrhoea,Child death Diarrhoea,CHILD_DEATH_DIARRHOEA,5-9y_X,XUoRxBxT6io,cuvi0oNThtK
2020 HF5 - Hospital Inpatients,Child death - HIV,Child death HIV,CHILD_DEATH_HIV,1-59m_X,IRnrKurieZl,A8dMUfhg6UE
2020 HF5 - Hospital Inpatients,Child death - HIV,Child death HIV,CHILD_DEATH_HIV,10-14y_X,IRnrKurieZl,TkMu3ASPYIt
2020 HF5 - Hospital Inpatients,Child death - HIV,Child death HIV,CHILD_DEATH_HIV,5-9y_X,IRnrKurieZl,cuvi0oNThtK
2020 HF5 - Hospital Inpatients,Child death - Malaria,Child death Malaria,CHILD_DEATH_MALARIA,10-14y_X,r3HwIQFuQgM,TkMu3ASPYIt
2020 HF5 - Hospital Inpatients,Child death - Malaria,Child death Malaria,CHILD_DEATH_MALARIA,5-9y_X,r3HwIQFuQgM,cuvi0oNThtK
2020 HF5 - Hospital Inpatients,Child death - Malnutrition,Child death Malnutrition,CHILD_DEATH_MALNUTRITION,1-59m_X,XZXrWcG0SYi,A8dMUfhg6UE
2020 HF5 - Hospital Inpatients,Child death - Malnutrition,Child death Malnutrition,CHILD_DEATH_MALNUTRITION,10-14y_X,XZXrWcG0SYi,TkMu3ASPYIt
2020 HF5 - Hospital Inpatients,Child death - Malnutrition,Child death Malnutrition,CHILD_DEATH_MALNUTRITION,5-9y_X,XZXrWcG0SYi,cuvi0oNThtK
2020 HF5 - Hospital Inpatients,Child death - Other specified causes,Child death Other specified causes,CHILD_DEATH_OTHER_SPECIFIED_CAUSES,1-59m_X,apXBB3MkAkE,A8dMUfhg6UE
2020 HF5 - Hospital Inpatients,Child death - Other specified causes,Child death Other specified causes,CHILD_DEATH_OTHER_SPECIFIED_CAUSES,10-14y_X,apXBB3MkAkE,TkMu3ASPYIt
2020 HF5 - Hospital Inpatients,Child death - Other specified causes,Child death Other specified causes,CHILD_DEATH_OTHER_SPECIFIED_CAUSES,5-9y_X,apXBB3MkAkE,cuvi0oNThtK
2020 HF5 - Hospital Inpatients,Child death - Pneumonia,Child death Pneumonia,CHILD_DEATH_PNEUMONIA,10-14y_X,S1B1HvII8vt,TkMu3ASPYIt
2020 HF5 - Hospital Inpatients,Child death - Pneumonia,Child death Pneumonia,CHILD_DEATH_PNEUMONIA,5-9y_X,S1B1HvII8vt,cuvi0oNThtK
2020 HF5 - Hospital Inpatients,Child death - Trauma,Child death Trauma,CHILD_DEATH_TRAUMA,1-59m_X,rwHcslomMSu,A8dMUfhg6UE
2020 HF5 - Hospital Inpatients,Child death - Trauma,Child death Trauma,CHILD_DEATH_TRAUMA,10-14y_X,rwHcslomMSu,TkMu3ASPYIt
2020 HF5 - Hospital Inpatients,Child death - Trauma,Child death Trauma,CHILD_DEATH_TRAUMA,5-9y_X,rwHcslomMSu,cuvi0oNThtK
2020 HF5 - Hospital Inpatients,Death registered 5+ years,Death registered 5+ yrs,DEATH_REGISTERED_5PY,Female,XUHtNraCcPz,jozSHj3ePdP
2020 HF5 - Hospital Inpatients,Death registered 5+ years,Death registered 5+ yrs,DEATH_REGISTERED_5PY,Male,XUHtNraCcPz,ngqMP5nc9s0
2020 HF5 - Hospital Inpatients,Death registered <5 years,Death registered <5 yrs,DEATH_REGISTERED_U5Y,Female,NDWsUugba1O,jozSHj3ePdP
2020 HF5 - Hospital Inpatients,Death registered <5 years,Death registered <5 yrs,DEATH_REGISTERED_U5Y,Male,NDWsUugba1O,ngqMP5nc9s0
2020 HF5 - Hospital Inpatients,Inpatient days - Intensive Care_X,Inpatient days ICU,INPAT_DAYS_ICU,default,SMCTXCAhrNa,p6gxExvVbwI
2020 HF5 - Hospital Inpatients,Inpatient days - Maternity_X,Inpatient days Mat,INPAT_DAYS_MATERNITY,default,OsHyIoRQ1YY,p6gxExvVbwI
2020 HF5 - Hospital Inpatients,Inpatient days - Medical_X,Inpatient days Med,INPAT_DAYS_MEDICAL,default,nvqD4aWZR4P,p6gxExvVbwI
2020 HF5 - Hospital Inpatients,Inpatient days - Paediatric_X,Inpatient days Paeds,INPAT_DAYS_PAEDIATRIC,default,s9sYgdo20zY,p6gxExvVbwI
2020 HF5 - Hospital Inpatients,Inpatient days - Psychiatric_X,Inpatient days Psych,INPAT_DAYS_PSYCHIATRIC,default,tEpCuPyayWO,p6gxExvVbwI
2020 HF5 - Hospital Inpatients,Inpatient days - Special care baby unit_X,Inpatient days Spec care baby unit,INPAT_DAYS_SPEC_BABY_UNIT,default,uSKo7pe6wFn,p6gxExvVbwI
2020 HF5 - Hospital Inpatients,Inpatient days - Stabilisation Centre_X,Inpatient days Stab Centre,INPAT_DAYS_STABILISATION_CENTRE,default,oCLd4sq9QPP,p6gxExvVbwI
2020 HF5 - Hospital Inpatients,Inpatient days - Surgical_X,Inpatient days Surg,INPAT_DAYS_SURGICAL,default,HqQ9LgDTKxF,p6gxExvVbwI
2020 HF5 - Hospital Inpatients,Inpatient days - TB_X,Inpatient days TB,INPAT_DAYS_TB,default,mY4Cey3tOoW,p6gxExvVbwI
2020 HF5 - Hospital Inpatients,Inpatient days - Total_X,Inpatient days Total,INPAT_DAYS_TOTAL,default,g7xNvFLaNtb,p6gxExvVbwI
2020 HF5 - Hospital Inpatients,Major surgery,Major surgery,MAJOR_SURGERY,default,sA17ifdEcyJ,p6gxExvVbwI
2020 HF5 - Hospital Inpatients,Minor surgery,Minor surgery,MINOR_SURGERY,default,bmj951cYm6m,p6gxExvVbwI
2020 HF5 - Hospital Inpatients,NND - Birth trauma_X,NND Birth trauma,NND_BIRTH_TRAUMA,0-7d_X,McjIiKnBpSE,jcTLcYXFCfF
2020 HF5 - Hospital Inpatients,NND - Birth trauma_X,NND Birth trauma,NND_BIRTH_TRAUMA,8-28d_X,McjIiKnBpSE,P4Pu9d9c7Rc
2020 HF5 - Hospital Inpatients,NND - Complications intrapartum events_X,NND Complications intrapartum,NND_COMP_INTRAPARTUM,0-7d_X,frpwnc8YQnd,jcTLcYXFCfF
2020 HF5 - Hospital Inpatients,NND - Complications intrapartum events_X,NND Complications intrapartum,NND_COMP_INTRAPARTUM,8-28d_X,frpwnc8YQnd,P4Pu9d9c7Rc
2020 HF5 - Hospital Inpatients,NND - Congenital defect_X,NND Congenital defect,NND_CONG_DEFECT,0-7d_X,Kp7bTCX3gYt,jcTLcYXFCfF
2020 HF5 - Hospital Inpatients,NND - Congenital defect_X,NND Congenital defect,NND_CONG_DEFECT,1-59m_X,Kp7bTCX3gYt,zWoDoWgEhYS
2020 HF5 - Hospital Inpatients,NND - Congenital defect_X,NND Congenital defect,NND_CONG_DEFECT,8-28d_X,Kp7bTCX3gYt,P4Pu9d9c7Rc
2020 HF5 - Hospital Inpatients,NND - Convulsions/cerebral disorders_X,NND Convulsions/cerebral disorders,NND_CONVULSION_CEREBRAL,0-7d_X,Qtb8ZDCVI1t,jcTLcYXFCfF
2020 HF5 - Hospital Inpatients,NND - Convulsions/cerebral disorders_X,NND Convulsions/cerebral disorders,NND_CONVULSION_CEREBRAL,8-28d_X,Qtb8ZDCVI1t,P4Pu9d9c7Rc
2020 HF5 - Hospital Inpatients,NND - Disorders related to foetal growth_X,NND Disorders re foetal growth,NND_DISORDER_FOETAL_GROWTH,0-7d_X,oaUTwVY6Svy,jcTLcYXFCfF
2020 HF5 - Hospital Inpatients,NND - Disorders related to foetal growth_X,NND Disorders re foetal growth,NND_DISORDER_FOETAL_GROWTH,8-28d_X,oaUTwVY6Svy,P4Pu9d9c7Rc
2020 HF5 - Hospital Inpatients,NND - Infection_X,NND Infection,NND_INFECTION,0-7d_X,lIbu87pAJ1s,jcTLcYXFCfF
2020 HF5 - Hospital Inpatients,NND - Infection_X,NND Infection,NND_INFECTION,8-28d_X,lIbu87pAJ1s,P4Pu9d9c7Rc
2020 HF5 - Hospital Inpatients,NND - Low birth weight and prematurity_X,NND Low birth weight and prematurity,NND_LBW_PREMATURITY,0-7d_X,o3abBBNCdN8,jcTLcYXFCfF
2020 HF5 - Hospital Inpatients,NND - Low birth weight and prematurity_X,NND Low birth weight and prematurity,NND_LBW_PREMATURITY,1-59m_X,o3abBBNCdN8,zWoDoWgEhYS
2020 HF5 - Hospital Inpatients,NND - Low birth weight and prematurity_X,NND Low birth weight and prematurity,NND_LBW_PREMATURITY,8-28d_X,o3abBBNCdN8,P4Pu9d9c7Rc
2020 HF5 - Hospital Inpatients,NND - Other neonatal condition_X,NND Other neonatal condition,NND_OTHER_CONDITION,0-7d_X,BkPgAiJP6EN,jcTLcYXFCfF
2020 HF5 - Hospital Inpatients,NND - Other neonatal condition_X,NND Other neonatal condition,NND_OTHER_CONDITION,8-28d_X,BkPgAiJP6EN,P4Pu9d9c7Rc
2020 HF5 - Hospital Inpatients,NND - Respiratory/cardiovascular disorders_X,NND Respiratory/cardiovascular disorders,NND_RESP_CARDIO_DISORDER,0-7d_X,TCoP6uRm0Y3,jcTLcYXFCfF
2020 HF5 - Hospital Inpatients,NND - Respiratory/cardiovascular disorders_X,NND Respiratory/cardiovascular disorders,NND_RESP_CARDIO_DISORDER,8-28d_X,TCoP6uRm0Y3,P4Pu9d9c7Rc
2020 HF5 - Hospital Inpatients,NND - Unspecified cause_X,NND Unspecified cause,NND_UNSPECIFIED_CAUSE,0-7d_X,K9lWEd7SkRm,jcTLcYXFCfF
2020 HF5 - Hospital Inpatients,NND - Unspecified cause_X,NND Unspecified cause,NND_UNSPECIFIED_CAUSE,8-28d_X,K9lWEd7SkRm,P4Pu9d9c7Rc
2020 HF5 - Hospital Inpatients,Neonatal - Asphyxia,Neo Asphyxia,NEONATAL_ASPHYXIA,0-28d_X,klai81fWoNj,sGnCa50Y3AQ
2020 HF5 - Hospital Inpatients,Neonatal - Birth trauma,Neo Birth trauma,NEONATAL_BIRTH_TRAUMA,0-28d_X,mhojMMBJFFi,sGnCa50Y3AQ
2020 HF5 - Hospital Inpatients,Neonatal - Complications intrapartum events,Neo Complications intrapartum events,NEONATAL_COMP_INTRAPARTUM,0-28d_X,tNnheYXg3uU,sGnCa50Y3AQ
2020 HF5 - Hospital Inpatients,Neonatal - Congenital defect,Neo Congenital defect,NEONATAL_CONG_DEFECT,0-28d_X,GhX3CCIu3Ia,sGnCa50Y3AQ
2020 HF5 - Hospital Inpatients,Neonatal - Convulsions/cerebral disorders,Neo Convulsions/cerebral disorders,NEONATAL_CONVULSION_CEREBRAL,0-28d_X,N2F2b84vN9m,sGnCa50Y3AQ
2020 HF5 - Hospital Inpatients,Neonatal - Diarrhoea,Neo Diarrhoea,NEONATAL_DIARRHOEA,0-28d_X,nhlpshXwXbh,sGnCa50Y3AQ
2020 HF5 - Hospital Inpatients,Neonatal - Diarrhoea,Neo Diarrhoea,NEONATAL_DIARRHOEA,29-60d_X,nhlpshXwXbh,QQOSql1vF6Y
2020 HF5 - Hospital Inpatients,Neonatal - Disorders related to foetal growth,Neo Disorders related to foetal growth,NEONATAL_DISORDER_FOETAL_GROWTH,0-28d_X,aS3BCtjasTg,sGnCa50Y3AQ
2020 HF5 - Hospital Inpatients,Neonatal - Hypothermia,Neo Hypothermia,NEONATAL_HYPOTHERMIA,0-28d_X,zYdpH1ugfm6,sGnCa50Y3AQ
2020 HF5 - Hospital Inpatients,Neonatal - Infection,Neo Infection,NEONATAL_INFECTION,0-28d_X,XXYpcBLhz9p,sGnCa50Y3AQ
2020 HF5 - Hospital Inpatients,Neonatal - Jaundice,Neo Jaundice,NEONATAL_JAUNDICE,0-28d_X,GH4KStqOEKh,sGnCa50Y3AQ
2020 HF5 - Hospital Inpatients,Neonatal - Jaundice,Neo Jaundice,NEONATAL_JAUNDICE,29-60d_X,GH4KStqOEKh,QQOSql1vF6Y
2020 HF5 - Hospital Inpatients,Neonatal - Low birth weight and prematurity,Neo Low birth weight and prematurity,NEONATAL_LBW_PREMATURITY,0-28d_X,PUsyNIDcOKn,sGnCa50Y3AQ
2020 HF5 - Hospital Inpatients,Neonatal - Other neonatal condition,Neo Other neonatal condition,NEONATAL_OTHER_CONDITION,0-28d_X,TMpBgAf1zc0,sGnCa50Y3AQ
2020 HF5 - Hospital Inpatients,Neonatal - Possible serious bacteria infection,Neo Possible serious bacteria infection,NEONATAL_SERIOUS_BACT_INFECTON,0-28d_X,Qrj91jW4fsT,sGnCa50Y3AQ
2020 HF5 - Hospital Inpatients,Neonatal - Possible serious bacteria infection,Neo Possible serious bacteria infection,NEONATAL_SERIOUS_BACT_INFECTON,29-60d_X,Qrj91jW4fsT,QQOSql1vF6Y
2020 HF5 - Hospital Inpatients,Neonatal - Respiratory distress syndrome,Neo Respiratory distress syndrome,NEONATAL_RESP_DISTRESS,0-28d_X,esarZ8oCuzw,sGnCa50Y3AQ
2020 HF5 - Hospital Inpatients,Neonatal - Respiratory/cardiovascular disorders,Neo Respiratory/cardiovascular disorders,NEONATAL_RESP_CARDIO_DISORDER,0-28d_X,o3EyfcTTVF8,sGnCa50Y3AQ
2020 HF5 - Hospital Inpatients,Neonatal - Unspecified cause,Neo Unspecified cause,NEONATAL_UNSPECIFIED_CAUSE,0-28d_X,FuifVHYKONH,sGnCa50Y3AQ
2020 HF5 - Hospital Inpatients,Physiotherapy client inpatient follow-up,Physiotherapy client IP follow-up,PHYSIO_INPATIENT_FUP,default,Bkp7lFBTiFD,p6gxExvVbwI
2020 HF5 - Hospital Inpatients,Physiotherapy client inpatient new,Physiotherapy client IP new,PHYSIO_INPATIENT_NEW,default,zQ8SJ51yLqF,p6gxExvVbwI
2020 HF5 - Hospital Inpatients,Physiotherapy client outpatient follow-up,Physiotherapy client OPD follow-up,PHYSIO_OUTPATIENT_FUP,default,JXIVbJm3Syp,p6gxExvVbwI
2020 HF5 - Hospital Inpatients,Physiotherapy client outpatient new,Physiotherapy client OPD new,PHYSIO_OUTPATIENT_NEW,default,PrF3pYG47rE,p6gxExvVbwI
2020 HF5 - Hospital Inpatients,Separation - Antenatal client with malaria_X,Separation ANC client with malaria,SEPARATION_ANC_MALARIA,Death,BCNgoeDOVKQ,hpGaR3LmHNE
2020 HF5 - Hospital Inpatients,Separation - Antenatal client with malaria_X,Separation ANC client with malaria,SEPARATION_ANC_MALARIA,Discharges,BCNgoeDOVKQ,GgiYi2Hk3qR
2020 HF5 - Hospital Inpatients,Separation - Antenatal client with malaria_X,Separation ANC client with malaria,SEPARATION_ANC_MALARIA,Transfer out,BCNgoeDOVKQ,idRxLuaWznC
2020 HF5 - Hospital Inpatients,Separation - Child 1-59 months_X,Separation Child 1-59m,SEPARATION_CHILD_12_59M,Death,MxAT3HE8EGc,hpGaR3LmHNE
2020 HF5 - Hospital Inpatients,Separation - Child 1-59 months_X,Separation Child 1-59m,SEPARATION_CHILD_12_59M,Discharges,MxAT3HE8EGc,GgiYi2Hk3qR
2020 HF5 - Hospital Inpatients,Separation - Child 1-59 months_X,Separation Child 1-59m,SEPARATION_CHILD_12_59M,Transfer out,MxAT3HE8EGc,idRxLuaWznC
2020 HF5 - Hospital Inpatients,Separation - Child with diarrhoea_X,Separation Child with diarrhoea,SEPARATION_CHILD_DIARRHOEA,Death,WbfvFvh4f0x,hpGaR3LmHNE
2020 HF5 - Hospital Inpatients,Separation - Child with diarrhoea_X,Separation Child with diarrhoea,SEPARATION_CHILD_DIARRHOEA,Discharges,WbfvFvh4f0x,GgiYi2Hk3qR
2020 HF5 - Hospital Inpatients,Separation - Child with diarrhoea_X,Separation Child with diarrhoea,SEPARATION_CHILD_DIARRHOEA,Transfer out,WbfvFvh4f0x,idRxLuaWznC
2020 HF5 - Hospital Inpatients,Separation - Child with malaria 0-59 months_X,Separation Child with malaria 0-59m,SEPARATION_CHILD_MALARIA_0_59M,Death,RLbH7CxlH2v,hpGaR3LmHNE
2020 HF5 - Hospital Inpatients,Separation - Child with malaria 0-59 months_X,Separation Child with malaria 0-59m,SEPARATION_CHILD_MALARIA_0_59M,Discharges,RLbH7CxlH2v,GgiYi2Hk3qR
2020 HF5 - Hospital Inpatients,Separation - Child with malaria 0-59 months_X,Separation Child with malaria 0-59m,SEPARATION_CHILD_MALARIA_0_59M,Transfer out,RLbH7CxlH2v,idRxLuaWznC
2020 HF5 - Hospital Inpatients,Separation - Child with malaria 5-14 years_X,Separation Child with malaria 5-14 yrs,SEPARATION_CHILD_MALARIA_5_14Y,Death,i6q1Ze67O8S,hpGaR3LmHNE
2020 HF5 - Hospital Inpatients,Separation - Child with malaria 5-14 years_X,Separation Child with malaria 5-14 yrs,SEPARATION_CHILD_MALARIA_5_14Y,Discharges,i6q1Ze67O8S,GgiYi2Hk3qR
2020 HF5 - Hospital Inpatients,Separation - Child with malaria 5-14 years_X,Separation Child with malaria 5-14 yrs,SEPARATION_CHILD_MALARIA_5_14Y,Transfer out,i6q1Ze67O8S,idRxLuaWznC
2020 HF5 - Hospital Inpatients,Separation - Child with pneumonia_X,Separation Child with pneumonia,SEPARATION_CHILD_PNENUMONIA,Death,JfdqE8wtGCg,hpGaR3LmHNE
2020 HF5 - Hospital Inpatients,Separation - Child with pneumonia_X,Separation Child with pneumonia,SEPARATION_CHILD_PNENUMONIA,Discharges,JfdqE8wtGCg,GgiYi2Hk3qR
2020 HF5 - Hospital Inpatients,Separation - Child with pneumonia_X,Separation Child with pneumonia,SEPARATION_CHILD_PNENUMONIA,Transfer out,JfdqE8wtGCg,idRxLuaWznC
2020 HF5 - Hospital Inpatients,Separation - Ebola survivor_X,Separation Ebola survivor,SEPARATION_EBOLA_SURVIVOR,Death,WWvxGW6JnXB,hpGaR3LmHNE
2020 HF5 - Hospital Inpatients,Separation - Ebola survivor_X,Separation Ebola survivor,SEPARATION_EBOLA_SURVIVOR,Discharges,WWvxGW6JnXB,GgiYi2Hk3qR
2020 HF5 - Hospital Inpatients,Separation - Ebola survivor_X,Separation Ebola survivor,SEPARATION_EBOLA_SURVIVOR,Transfer out,WWvxGW6JnXB,idRxLuaWznC
2020 HF5 - Hospital Inpatients,Separation - Intensive Care_X,Separation ICU,SEPARATION_ICU,Death,DrZy5EauZlJ,hpGaR3LmHNE
2020 HF5 - Hospital Inpatients,Separation - Intensive Care_X,Separation ICU,SEPARATION_ICU,Discharges,DrZy5EauZlJ,GgiYi2Hk3qR
2020 HF5 - Hospital Inpatients,Separation - Intensive Care_X,Separation ICU,SEPARATION_ICU,Transfer out,DrZy5EauZlJ,idRxLuaWznC
2020 HF5 - Hospital Inpatients,Separation - Malaria 15+ years_X,Separation Malaria 15+ yrs,SEPARATION_MALARIA_15PY,Death,c2SWMIoyt92,hpGaR3LmHNE
2020 HF5 - Hospital Inpatients,Separation - Malaria 15+ years_X,Separation Malaria 15+ yrs,SEPARATION_MALARIA_15PY,Discharges,c2SWMIoyt92,GgiYi2Hk3qR
2020 HF5 - Hospital Inpatients,Separation - Malaria 15+ years_X,Separation Malaria 15+ yrs,SEPARATION_MALARIA_15PY,Transfer out,c2SWMIoyt92,idRxLuaWznC
2020 HF5 - Hospital Inpatients,Separation - Maternity_X,Separation Maternity,SEPARATION_MATERNITY,Death,wDJ0RosyWXC,hpGaR3LmHNE
2020 HF5 - Hospital Inpatients,Separation - Maternity_X,Separation Maternity,SEPARATION_MATERNITY,Discharges,wDJ0RosyWXC,GgiYi2Hk3qR
2020 HF5 - Hospital Inpatients,Separation - Maternity_X,Separation Maternity,SEPARATION_MATERNITY,Transfer out,wDJ0RosyWXC,idRxLuaWznC
2020 HF5 - Hospital Inpatients,Separation - Medical_X,Separation Medical,SEPARATION_MEDICAL,Death,DV9Q9I4XIhU,hpGaR3LmHNE
2020 HF5 - Hospital Inpatients,Separation - Medical_X,Separation Medical,SEPARATION_MEDICAL,Discharges,DV9Q9I4XIhU,GgiYi2Hk3qR
2020 HF5 - Hospital Inpatients,Separation - Medical_X,Separation Medical,SEPARATION_MEDICAL,Transfer out,DV9Q9I4XIhU,idRxLuaWznC
2020 HF5 - Hospital Inpatients,Separation - Paediatric_X,Separation Paeds,SEPARATION_PAEDIATRIC,Death,BjfPIq14WQh,hpGaR3LmHNE
2020 HF5 - Hospital Inpatients,Separation - Paediatric_X,Separation Paeds,SEPARATION_PAEDIATRIC,Discharges,BjfPIq14WQh,GgiYi2Hk3qR
2020 HF5 - Hospital Inpatients,Separation - Paediatric_X,Separation Paeds,SEPARATION_PAEDIATRIC,Transfer out,BjfPIq14WQh,idRxLuaWznC
2020 HF5 - Hospital Inpatients,Separation - Psychiatric_X,Separation Psych,SEPARATION_PSYCHIATRIC,Death,roeHHmiguXa,hpGaR3LmHNE
2020 HF5 - Hospital Inpatients,Separation - Psychiatric_X,Separation Psych,SEPARATION_PSYCHIATRIC,Discharges,roeHHmiguXa,GgiYi2Hk3qR
2020 HF5 - Hospital Inpatients,Separation - Psychiatric_X,Separation Psych,SEPARATION_PSYCHIATRIC,Transfer out,roeHHmiguXa,idRxLuaWznC
2020 HF5 - Hospital Inpatients,Separation - Special care baby unit_X,Separation Special care baby unit,SEPARATION_SPEC_BABY_UNIT,Death,JhRIwqKNzfy,hpGaR3LmHNE
2020 HF5 - Hospital Inpatients,Separation - Special care baby unit_X,Separation Special care baby unit,SEPARATION_SPEC_BABY_UNIT,Discharges,JhRIwqKNzfy,GgiYi2Hk3qR
2020 HF5 - Hospital Inpatients,Separation - Special care baby unit_X,Separation Special care baby unit,SEPARATION_SPEC_BABY_UNIT,Transfer out,JhRIwqKNzfy,idRxLuaWznC
2020 HF5 - Hospital Inpatients,Separation - Stabilisation Centre_X,Separation Stab Centre,SEPARATION_STABILISATION_CENTRE,Death,BdUp15dV8LP,hpGaR3LmHNE
2020 HF5 - Hospital Inpatients,Separation - Stabilisation Centre_X,Separation Stab Centre,SEPARATION_STABILISATION_CENTRE,Discharges,BdUp15dV8LP,GgiYi2Hk3qR
2020 HF5 - Hospital Inpatients,Separation - Stabilisation Centre_X,Separation Stab Centre,SEPARATION_STABILISATION_CENTRE,Transfer out,BdUp15dV8LP,idRxLuaWznC
