datasetelementid,dataset_uid,dataset,dataelement_uid,code,dataelement
28909759,ALTOmRGaYLY,RRIV_chc_Most Essential Medicines and Consumables,FIWNzWYPCHh,,"chc_Most Esntl Meds and Cons_Glove, Surgical, Size 7.5, Sterile, Disposable, Pair_L/A_Comments"
28909760,ALTOmRGaYLY,RRIV_chc_Most Essential Medicines and Consumables,FJN0Ml6T59p,,"chc_Most Esntl Meds and Cons_Cotton Wool, Absorbent, 500g, Roll_L/A_Comments"
28909769,ALTOmRGaYLY,RRIV_chc_Most Essential Medicines and Consumables,Fn3cjy2AC2E,,"chc_Most Esntl Meds and Cons_Co-Trimoxazole (Sulfamethoxazole & Trimethoprim) 200mg & 40mg / 5ml, Pdr for Susp, 100ml, Bot_L/A_Comments"
28909590,ALTOmRGaYLY,RRIV_chc_Most Essential Medicines and Consumables,H5utx6qOZmX,,"chc_Most Esntl Meds and Cons_Paracetamol (Acetaminophen) 500mg, Tab_L/A_Comments"
28909689,ALTOmRGaYLY,RRIV_chc_Most Essential Medicines and Consumables,JJyRAXDdcuW,,"chc_Most Esntl Meds and Cons_Glucose (Dextrose) 5%, IV Inj, 500ml, Soft Bag_L/A_Comments"
28909576,ALTOmRGaYLY,RRIV_chc_Most Essential Medicines and Consumables,K9fW3eYGHgL,,"chc_Most Esntl Meds and Cons_Diazepam 5mg/ml, Inj, 2ml, Amp_L/A_Comments"
28909749,ALTOmRGaYLY,RRIV_chc_Most Essential Medicines and Consumables,LfIxH0Dw9YM,,"chc_Most Esntl Meds and Cons_Folic Acid 5mg, Tab_L/A_Comments"
28909542,ALTOmRGaYLY,RRIV_chc_Most Essential Medicines and Consumables,RbyzhZwuDjt,,"chc_Most Esntl Meds and Cons_Ferrous Sulphate & Folic Acid (FeFol) 200mg & 0.4mg, Tab_L/A_Comments"
28909557,ALTOmRGaYLY,RRIV_chc_Most Essential Medicines and Consumables,SLEMDCON001,,"Albendazole 400mg, Tab - Opening Balance (A)"
28909547,ALTOmRGaYLY,RRIV_chc_Most Essential Medicines and Consumables,SLEMDCON002,,"Amoxicillin 250mg, Dispersible, Tab - Opening Balance (A)"
28909537,ALTOmRGaYLY,RRIV_chc_Most Essential Medicines and Consumables,SLEMDCON003,,"Ampicillin 500mg, Pdr for IM/IV, Inj, Vial - Opening Balance (A)"
28909448,ALTOmRGaYLY,RRIV_chc_Most Essential Medicines and Consumables,SLEMDCON004,,"Cannula, IV, 20G, Short, Sterile, Disposable, Pcs - Opening Balance (A)"
28909601,ALTOmRGaYLY,RRIV_chc_Most Essential Medicines and Consumables,SLEMDCON005,,"Cannula, IV, 24G, Short, Sterile, Disposable, Pcs - Opening Balance (A)"
28909615,ALTOmRGaYLY,RRIV_chc_Most Essential Medicines and Consumables,SLEMDCON006,,"Chlorhexidine Gluconate 5%, Solution, 1000ml, Bot - Opening Balance (A)"
28909480,ALTOmRGaYLY,RRIV_chc_Most Essential Medicines and Consumables,SLEMDCON007,,"Chlorhexidine Gluconate 7.1%, Gel - Opening Balance (A)"
28909722,ALTOmRGaYLY,RRIV_chc_Most Essential Medicines and Consumables,SLEMDCON008,,"Compound Sodium (Ringer's) Lactate 0.25%, Infusion, 500ml, Soft Bag - Opening Balance (A)"
28909656,ALTOmRGaYLY,RRIV_chc_Most Essential Medicines and Consumables,SLEMDCON009,,"Co-Trimoxazole (Sulfamethoxazole & Trimethoprim) 200mg & 40mg / 5ml, Pdr for Susp, 100ml, Bot - Opening Balance (A)"
28909540,ALTOmRGaYLY,RRIV_chc_Most Essential Medicines and Consumables,SLEMDCON010,,"Co-Trimoxazole (Sulfamethoxazole & Trimethoprim) 400mg & 80mg, Tab - Opening Balance (A)"
28909419,ALTOmRGaYLY,RRIV_chc_Most Essential Medicines and Consumables,SLEMDCON011,,"Cotton Wool, Absorbent, 500g, Roll - Opening Balance (A)"
28909558,ALTOmRGaYLY,RRIV_chc_Most Essential Medicines and Consumables,SLEMDCON013,,"Diazepam 5mg/ml, Inj, 2ml, Amp - Opening Balance (A)"
28909762,ALTOmRGaYLY,RRIV_chc_Most Essential Medicines and Consumables,SLEMDCON014,,"Ferrous Sulphate & Folic Acid (FeFol) 200mg & 0.4mg, Tab - Opening Balance (A)"
28909461,ALTOmRGaYLY,RRIV_chc_Most Essential Medicines and Consumables,SLEMDCON015,,"Folic Acid 5mg, Tab - Opening Balance (A)"
28909464,ALTOmRGaYLY,RRIV_chc_Most Essential Medicines and Consumables,SLEMDCON016,,"Gauze, Pad, N17, 12-Ply, 10cm x 10cm, Pcs - Opening Balance (A)"
28909428,ALTOmRGaYLY,RRIV_chc_Most Essential Medicines and Consumables,SLEMDCON017,,"Gentamicin 40mg/ml, Inj, 2ml, Amp - Opening Balance (A)"
28909444,ALTOmRGaYLY,RRIV_chc_Most Essential Medicines and Consumables,SLEMDCON018,,"Glove, Exam, Latex, Medium, Nonsterile, Disposable, Pcs - Opening Balance (A)"
28909460,ALTOmRGaYLY,RRIV_chc_Most Essential Medicines and Consumables,SLEMDCON019,,"Glove, Gynecological, Elbow, Size 7.5, Pcs - Opening Balance (A)"
28909496,ALTOmRGaYLY,RRIV_chc_Most Essential Medicines and Consumables,SLEMDCON020,,"Glove, Surgical, Size 7.5, Sterile, Disposable, Pair - Opening Balance (A)"
28909569,ALTOmRGaYLY,RRIV_chc_Most Essential Medicines and Consumables,SLEMDCON021,,"Glucose (Dextrose) 5%, IV Inj, 500ml, Soft Bag - Opening Balance (A)"
28909585,ALTOmRGaYLY,RRIV_chc_Most Essential Medicines and Consumables,SLEMDCON023,,"Ibuprofen 400mg, Tab - Opening Balance (A)"
28909533,ALTOmRGaYLY,RRIV_chc_Most Essential Medicines and Consumables,SLEMDCON024,,"IV Giving Set, Pcs - Opening Balance (A)"
28909721,ALTOmRGaYLY,RRIV_chc_Most Essential Medicines and Consumables,SLEMDCON025,,"Lidocaine (Lignocaine) HCl 2%, Inj, 50ml, Vial - Opening Balance (A)"
28909665,ALTOmRGaYLY,RRIV_chc_Most Essential Medicines and Consumables,SLEMDCON026,,"Magnesium Sulphate 50%, Inj, 10ml, Amp - Opening Balance (A)"
28909790,ALTOmRGaYLY,RRIV_chc_Most Essential Medicines and Consumables,SLEMDCON027,,"Methyldopa 250mg, Tab - Opening Balance (A)"
28909747,ALTOmRGaYLY,RRIV_chc_Most Essential Medicines and Consumables,SLEMDCON028,,"Metronidazole 200mg/5ml, Pdr for Susp, 100ml, Bot - Opening Balance (A)"
28909538,ALTOmRGaYLY,RRIV_chc_Most Essential Medicines and Consumables,SLEMDCON029,,"Metronidazole 250mg, Tab - Opening Balance (A)"
28909657,ALTOmRGaYLY,RRIV_chc_Most Essential Medicines and Consumables,SLEMDCON030,,"Misoprostol 200mcg, Tab - Opening Balance (A)"
28909718,ALTOmRGaYLY,RRIV_chc_Most Essential Medicines and Consumables,SLEMDCON031,,"Needle, Hypodermic, Luer, 21G, Sterile, Disposable - Opening Balance (A)"
28909775,ALTOmRGaYLY,RRIV_chc_Most Essential Medicines and Consumables,SLEMDCON032,,"Needle, Hypodermic, Luer, 23G, Sterile, Disposable - Opening Balance (A)"
28909647,ALTOmRGaYLY,RRIV_chc_Most Essential Medicines and Consumables,SLEMDCON033,,"Oral Rehydration Salts (ORS), Sachet - Opening Balance (A)"
28909602,ALTOmRGaYLY,RRIV_chc_Most Essential Medicines and Consumables,SLEMDCON034,,"Oxytocin 10IU, Inj, Amp - Opening Balance (A)"
28909806,ALTOmRGaYLY,RRIV_chc_Most Essential Medicines and Consumables,SLEMDCON035,,"Paracetamol (Acetaminophen) 250mg, Dispersible, Tab - Opening Balance (A)"
28909812,ALTOmRGaYLY,RRIV_chc_Most Essential Medicines and Consumables,SLEMDCON036,,"Paracetamol (Acetaminophen) 500mg, Tab - Opening Balance (A)"
28909810,ALTOmRGaYLY,RRIV_chc_Most Essential Medicines and Consumables,SLEMDCON037,,"Povidone Iodine 10%, Solution, Bot - Opening Balance (A)"
28909530,ALTOmRGaYLY,RRIV_chc_Most Essential Medicines and Consumables,SLEMDCON038,,"Sodium Chloride (Normal Saline) 0.9%, IV Inj, 500ml, Bot - Opening Balance (A)"
28909778,ALTOmRGaYLY,RRIV_chc_Most Essential Medicines and Consumables,SLEMDCON039,,"Surgical Spirit 98%, Solution - Opening Balance (A)"
28909594,ALTOmRGaYLY,RRIV_chc_Most Essential Medicines and Consumables,SLEMDCON041,,"Syringe, Luer, 5ml, Disposable - Opening Balance (A)"
28909581,ALTOmRGaYLY,RRIV_chc_Most Essential Medicines and Consumables,SLEMDCON042,,"Tape, Adhesive, Zinc Oxide, 2.5cm x 5m, Roll - Opening Balance (A)"
28909638,ALTOmRGaYLY,RRIV_chc_Most Essential Medicines and Consumables,SLEMDCON044,,"Water for Injection 5ml, Inj, Amp Most Essential Med and Cons - Opening Balance (A)"
28909458,ALTOmRGaYLY,RRIV_chc_Most Essential Medicines and Consumables,SLEMDCON045,,"Zinc Sulphate 20mg, Dispersible, Tab - Opening Balance (A)"
28909414,ALTOmRGaYLY,RRIV_chc_Most Essential Medicines and Consumables,SLEMDCON046,,"Albendazole 400mg, Tab - Quantity Received (B)"
28909655,ALTOmRGaYLY,RRIV_chc_Most Essential Medicines and Consumables,SLEMDCON047,,"Amoxicillin 250mg, Dispersible, Tab - Quantity Received (B)"
28909450,ALTOmRGaYLY,RRIV_chc_Most Essential Medicines and Consumables,SLEMDCON048,,"Ampicillin 500mg, Pdr for IM/IV, Inj, Vial - Quantity Received (B)"
28909700,ALTOmRGaYLY,RRIV_chc_Most Essential Medicines and Consumables,SLEMDCON049,,"Cannula, IV, 20G, Short, Sterile, Disposable, Pcs - Quantity Received (B)"
28909649,ALTOmRGaYLY,RRIV_chc_Most Essential Medicines and Consumables,SLEMDCON050,,"Cannula, IV, 24G, Short, Sterile, Disposable, Pcs - Quantity Received (B)"
28909691,ALTOmRGaYLY,RRIV_chc_Most Essential Medicines and Consumables,SLEMDCON051,,"Chlorhexidine Gluconate 5%, Solution, 1000ml, Bot - Quantity Received (B)"
28909787,ALTOmRGaYLY,RRIV_chc_Most Essential Medicines and Consumables,SLEMDCON052,,"Chlorhexidine Gluconate 7.1%, Gel - Quantity Received (B)"
28909474,ALTOmRGaYLY,RRIV_chc_Most Essential Medicines and Consumables,SLEMDCON053,,"Compound Sodium (Ringer's) Lactate 0.25%, Infusion, 500ml, Soft Bag - Quantity Received (B)"
28909630,ALTOmRGaYLY,RRIV_chc_Most Essential Medicines and Consumables,SLEMDCON054,,"Co-Trimoxazole (Sulfamethoxazole & Trimethoprim) 200mg & 40mg / 5ml, Pdr for Susp, 100ml, Bot - Quantity Received (B)"
28909741,ALTOmRGaYLY,RRIV_chc_Most Essential Medicines and Consumables,SLEMDCON055,,"Co-Trimoxazole (Sulfamethoxazole & Trimethoprim) 400mg & 80mg, Tab - Quantity Received (B)"
28909727,ALTOmRGaYLY,RRIV_chc_Most Essential Medicines and Consumables,SLEMDCON056,,"Cotton Wool, Absorbent, 500g, Roll - Quantity Received (B)"
28909704,ALTOmRGaYLY,RRIV_chc_Most Essential Medicines and Consumables,SLEMDCON058,,"Diazepam 5mg/ml, Inj, 2ml, Amp - Quantity Received (B)"
28909535,ALTOmRGaYLY,RRIV_chc_Most Essential Medicines and Consumables,SLEMDCON059,,"Ferrous Sulphate & Folic Acid (FeFol) 200mg & 0.4mg, Tab - Quantity Received (B)"
28909513,ALTOmRGaYLY,RRIV_chc_Most Essential Medicines and Consumables,SLEMDCON060,,"Folic Acid 5mg, Tab - Quantity Received (B)"
28909695,ALTOmRGaYLY,RRIV_chc_Most Essential Medicines and Consumables,SLEMDCON061,,"Gauze, Pad, N17, 12-Ply, 10cm x 10cm, Pcs - Quantity Received (B)"
28909796,ALTOmRGaYLY,RRIV_chc_Most Essential Medicines and Consumables,SLEMDCON062,,"Gentamicin 40mg/ml, Inj, 2ml, Amp - Quantity Received (B)"
28909427,ALTOmRGaYLY,RRIV_chc_Most Essential Medicines and Consumables,SLEMDCON063,,"Glove, Exam, Latex, Medium, Nonsterile, Disposable, Pcs - Quantity Received (B)"
28909593,ALTOmRGaYLY,RRIV_chc_Most Essential Medicines and Consumables,SLEMDCON064,,"Glove, Gynecological, Elbow, Size 7.5, Pcs - Quantity Received (B)"
28909774,ALTOmRGaYLY,RRIV_chc_Most Essential Medicines and Consumables,SLEMDCON065,,"Glove, Surgical, Size 7.5, Sterile, Disposable, Pair - Quantity Received (B)"
28909653,ALTOmRGaYLY,RRIV_chc_Most Essential Medicines and Consumables,SLEMDCON066,,"Glucose (Dextrose) 5%, IV Inj, 500ml, Soft Bag - Quantity Received (B)"
28909634,ALTOmRGaYLY,RRIV_chc_Most Essential Medicines and Consumables,SLEMDCON068,,"Ibuprofen 400mg, Tab - Quantity Received (B)"
28909776,ALTOmRGaYLY,RRIV_chc_Most Essential Medicines and Consumables,SLEMDCON069,,"IV Giving Set, Pcs - Quantity Received (B)"
28909534,ALTOmRGaYLY,RRIV_chc_Most Essential Medicines and Consumables,SLEMDCON070,,"Lidocaine (Lignocaine) HCl 2%, Inj, 50ml, Vial - Quantity Received (B)"
28909564,ALTOmRGaYLY,RRIV_chc_Most Essential Medicines and Consumables,SLEMDCON071,,"Magnesium Sulphate 50%, Inj, 10ml, Amp - Quantity Received (B)"
28909409,ALTOmRGaYLY,RRIV_chc_Most Essential Medicines and Consumables,SLEMDCON072,,"Methyldopa 250mg, Tab - Quantity Received (B)"
28909750,ALTOmRGaYLY,RRIV_chc_Most Essential Medicines and Consumables,SLEMDCON073,,"Metronidazole 200mg/5ml, Pdr for Susp, 100ml, Bot - Quantity Received (B)"
28909437,ALTOmRGaYLY,RRIV_chc_Most Essential Medicines and Consumables,SLEMDCON074,,"Metronidazole 250mg, Tab - Quantity Received (B)"
28909670,ALTOmRGaYLY,RRIV_chc_Most Essential Medicines and Consumables,SLEMDCON075,,"Misoprostol 200mcg, Tab - Quantity Received (B)"
28909435,ALTOmRGaYLY,RRIV_chc_Most Essential Medicines and Consumables,SLEMDCON076,,"Needle, Hypodermic, Luer, 21G, Sterile, Disposable - Quantity Received (B)"
28909506,ALTOmRGaYLY,RRIV_chc_Most Essential Medicines and Consumables,SLEMDCON077,,"Needle, Hypodermic, Luer, 23G, Sterile, Disposable - Quantity Received (B)"
28909552,ALTOmRGaYLY,RRIV_chc_Most Essential Medicines and Consumables,SLEMDCON078,,"Oral Rehydration Salts (ORS), Sachet - Quantity Received (B)"
28909598,ALTOmRGaYLY,RRIV_chc_Most Essential Medicines and Consumables,SLEMDCON079,,"Oxytocin 10IU, Inj, Amp - Quantity Received (B)"
28909738,ALTOmRGaYLY,RRIV_chc_Most Essential Medicines and Consumables,SLEMDCON080,,"Paracetamol (Acetaminophen) 250mg, Dispersible, Tab - Quantity Received (B)"
28909479,ALTOmRGaYLY,RRIV_chc_Most Essential Medicines and Consumables,SLEMDCON081,,"Paracetamol (Acetaminophen) 500mg, Tab - Quantity Received (B)"
28909425,ALTOmRGaYLY,RRIV_chc_Most Essential Medicines and Consumables,SLEMDCON082,,"Povidone Iodine 10%, Solution, Bot - Quantity Received (B)"
28909500,ALTOmRGaYLY,RRIV_chc_Most Essential Medicines and Consumables,SLEMDCON083,,"Sodium Chloride (Normal Saline) 0.9%, IV Inj, 500ml, Bot - Quantity Received (B)"
28909710,ALTOmRGaYLY,RRIV_chc_Most Essential Medicines and Consumables,SLEMDCON084,,"Surgical Spirit 98%, Solution - Quantity Received (B)"
28909445,ALTOmRGaYLY,RRIV_chc_Most Essential Medicines and Consumables,SLEMDCON086,,"Syringe, Luer, 5ml, Disposable - Quantity Received (B)"
28909616,ALTOmRGaYLY,RRIV_chc_Most Essential Medicines and Consumables,SLEMDCON087,,"Tape, Adhesive, Zinc Oxide, 2.5cm x 5m, Roll - Quantity Received (B)"
28909567,ALTOmRGaYLY,RRIV_chc_Most Essential Medicines and Consumables,SLEMDCON089,,"Water for Injection 5ml, Inj, Amp Most Essential Med and Cons - Quantity Received (B)"
28909625,ALTOmRGaYLY,RRIV_chc_Most Essential Medicines and Consumables,SLEMDCON090,,"Zinc Sulphate 20mg, Dispersible, Tab - Quantity Received (B)"
28909773,ALTOmRGaYLY,RRIV_chc_Most Essential Medicines and Consumables,SLEMDCON091,,"Albendazole 400mg, Tab - Losses / Adjustments (C)"
28909662,ALTOmRGaYLY,RRIV_chc_Most Essential Medicines and Consumables,SLEMDCON092,,"Amoxicillin 250mg, Dispersible, Tab - Losses / Adjustments (C)"
28909802,ALTOmRGaYLY,RRIV_chc_Most Essential Medicines and Consumables,SLEMDCON093,,"Ampicillin 500mg, Pdr for IM/IV, Inj, Vial - Losses / Adjustments (C)"
28909770,ALTOmRGaYLY,RRIV_chc_Most Essential Medicines and Consumables,SLEMDCON094,,"Cannula, IV, 20G, Short, Sterile, Disposable, Pcs - Losses / Adjustments (C)"
28909739,ALTOmRGaYLY,RRIV_chc_Most Essential Medicines and Consumables,SLEMDCON095,,"Cannula, IV, 24G, Short, Sterile, Disposable, Pcs - Losses / Adjustments (C)"
28909734,ALTOmRGaYLY,RRIV_chc_Most Essential Medicines and Consumables,SLEMDCON096,,"Chlorhexidine Gluconate 5%, Solution, 1000ml, Bot - Losses / Adjustments (C)"
28909470,ALTOmRGaYLY,RRIV_chc_Most Essential Medicines and Consumables,SLEMDCON097,,"Chlorhexidine Gluconate 7.1%, Gel - Losses / Adjustments (C)"
28909627,ALTOmRGaYLY,RRIV_chc_Most Essential Medicines and Consumables,SLEMDCON098,,"Compound Sodium (Ringer's) Lactate 0.25%, Infusion, 500ml, Soft Bag - Losses / Adjustments (C)"
28909768,ALTOmRGaYLY,RRIV_chc_Most Essential Medicines and Consumables,SLEMDCON099,,"Co-Trimoxazole (Sulfamethoxazole & Trimethoprim) 200mg & 40mg / 5ml, Pdr for Susp, 100ml, Bot - Losses / Adjustments (C)"
28909726,ALTOmRGaYLY,RRIV_chc_Most Essential Medicines and Consumables,SLEMDCON100,,"Co-Trimoxazole (Sulfamethoxazole & Trimethoprim) 400mg & 80mg, Tab - Losses / Adjustments (C)"
28909510,ALTOmRGaYLY,RRIV_chc_Most Essential Medicines and Consumables,SLEMDCON101,,"Cotton Wool, Absorbent, 500g, Roll - Losses / Adjustments (C)"
28909637,ALTOmRGaYLY,RRIV_chc_Most Essential Medicines and Consumables,SLEMDCON103,,"Diazepam 5mg/ml, Inj, 2ml, Amp - Losses / Adjustments (C)"
28909717,ALTOmRGaYLY,RRIV_chc_Most Essential Medicines and Consumables,SLEMDCON104,,"Ferrous Sulphate & Folic Acid (FeFol) 200mg & 0.4mg, Tab - Losses / Adjustments (C)"
28909730,ALTOmRGaYLY,RRIV_chc_Most Essential Medicines and Consumables,SLEMDCON105,,"Folic Acid 5mg, Tab - Losses / Adjustments (C)"
28909654,ALTOmRGaYLY,RRIV_chc_Most Essential Medicines and Consumables,SLEMDCON106,,"Gauze, Pad, N17, 12-Ply, 10cm x 10cm, Pcs - Losses / Adjustments (C)"
28909549,ALTOmRGaYLY,RRIV_chc_Most Essential Medicines and Consumables,SLEMDCON107,,"Gentamicin 40mg/ml, Inj, 2ml, Amp - Losses / Adjustments (C)"
28909807,ALTOmRGaYLY,RRIV_chc_Most Essential Medicines and Consumables,SLEMDCON108,,"Glove, Exam, Latex, Medium, Nonsterile, Disposable, Pcs - Losses / Adjustments (C)"
28909624,ALTOmRGaYLY,RRIV_chc_Most Essential Medicines and Consumables,SLEMDCON109,,"Glove, Gynecological, Elbow, Size 7.5, Pcs - Losses / Adjustments (C)"
28909508,ALTOmRGaYLY,RRIV_chc_Most Essential Medicines and Consumables,SLEMDCON110,,"Glove, Surgical, Size 7.5, Sterile, Disposable, Pair - Losses / Adjustments (C)"
28909612,ALTOmRGaYLY,RRIV_chc_Most Essential Medicines and Consumables,SLEMDCON111,,"Glucose (Dextrose) 5%, IV Inj, 500ml, Soft Bag - Losses / Adjustments (C)"
28909676,ALTOmRGaYLY,RRIV_chc_Most Essential Medicines and Consumables,SLEMDCON113,,"Ibuprofen 400mg, Tab - Losses / Adjustments (C)"
28909571,ALTOmRGaYLY,RRIV_chc_Most Essential Medicines and Consumables,SLEMDCON114,,"IV Giving Set, Pcs - Losses / Adjustments (C)"
28909636,ALTOmRGaYLY,RRIV_chc_Most Essential Medicines and Consumables,SLEMDCON115,,"Lidocaine (Lignocaine) HCl 2%, Inj, 50ml, Vial - Losses / Adjustments (C)"
28909758,ALTOmRGaYLY,RRIV_chc_Most Essential Medicines and Consumables,SLEMDCON116,,"Magnesium Sulphate 50%, Inj, 10ml, Amp - Losses / Adjustments (C)"
28909795,ALTOmRGaYLY,RRIV_chc_Most Essential Medicines and Consumables,SLEMDCON117,,"Methyldopa 250mg, Tab - Losses / Adjustments (C)"
28909483,ALTOmRGaYLY,RRIV_chc_Most Essential Medicines and Consumables,SLEMDCON118,,"Metronidazole 200mg/5ml, Pdr for Susp, 100ml, Bot - Losses / Adjustments (C)"
28909556,ALTOmRGaYLY,RRIV_chc_Most Essential Medicines and Consumables,SLEMDCON119,,"Metronidazole 250mg, Tab - Losses / Adjustments (C)"
28909603,ALTOmRGaYLY,RRIV_chc_Most Essential Medicines and Consumables,SLEMDCON120,,"Misoprostol 200mcg, Tab - Losses / Adjustments (C)"
28909412,ALTOmRGaYLY,RRIV_chc_Most Essential Medicines and Consumables,SLEMDCON121,,"Needle, Hypodermic, Luer, 21G, Sterile, Disposable - Losses / Adjustments (C)"
28909714,ALTOmRGaYLY,RRIV_chc_Most Essential Medicines and Consumables,SLEMDCON122,,"Needle, Hypodermic, Luer, 23G, Sterile, Disposable - Losses / Adjustments (C)"
28909707,ALTOmRGaYLY,RRIV_chc_Most Essential Medicines and Consumables,SLEMDCON123,,"Oral Rehydration Salts (ORS), Sachet - Losses / Adjustments (C)"
28909441,ALTOmRGaYLY,RRIV_chc_Most Essential Medicines and Consumables,SLEMDCON124,,"Oxytocin 10IU, Inj, Amp - Losses / Adjustments (C)"
28909578,ALTOmRGaYLY,RRIV_chc_Most Essential Medicines and Consumables,SLEMDCON125,,"Paracetamol (Acetaminophen) 250mg, Dispersible, Tab - Losses / Adjustments (C)"
